"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",0.088111732231468,0.100926026505056,-0.125263950545747,0.249005328238717,"lnLARCENY","D_MED"
-8,"Average",-0.0474698930738722,0.0649571315869209,-0.151301344377992,0.0907713700918134,"lnLARCENY","D_MED"
-7,"Average",0.0258738364427784,0.108617665301999,-0.189899649731219,0.218166690854928,"lnLARCENY","D_MED"
-6,"Average",0.0639967963483074,0.0661852018699648,-0.0616314747907889,0.195378979286743,"lnLARCENY","D_MED"
-5,"Average",0.0529701629472536,0.0427091476837193,-0.0353658117302441,0.13757363392976,"lnLARCENY","D_MED"
-4,"Average",0.0248372250269983,0.024060433847824,-0.0239585036559912,0.0712519747077718,"lnLARCENY","D_MED"
-3,"Average",-0.01610012045034,0.0164398631127568,-0.0500885210448325,0.0134883267485211,"lnLARCENY","D_MED"
-2,"Average",-0.0211528564044563,0.024819148634239,-0.0696184009155952,0.0261265025367153,"lnLARCENY","D_MED"
-1,"Average",-0.0476390938663894,0.036698060251224,-0.12176949045007,0.0202176035108769,"lnLARCENY","D_MED"
0,"Average",-0.0471555642802192,0.038537702738129,-0.12663678067399,0.0199673901497441,"lnLARCENY","D_MED"
1,"Average",-0.0212219214543019,0.0347872283692455,-0.0973738776654737,0.040499372912314,"lnLARCENY","D_MED"
2,"Average",-0.0187813249755153,0.0368537711573898,-0.0955037787899554,0.0508125992159088,"lnLARCENY","D_MED"
3,"Average",-0.0249745064426463,0.0378599884960676,-0.104981498533325,0.0431321396142667,"lnLARCENY","D_MED"
4,"Average",-0.0010323181509351,0.039832468999647,-0.0822340107850213,0.0748743367840475,"lnLARCENY","D_MED"
5,"Average",-0.0167588441000133,0.0428606713035936,-0.107103653112087,0.063963429975331,"lnLARCENY","D_MED"
6,"Average",-0.00705685802479443,0.0473334027437293,-0.105869623236351,0.0846150476212753,"lnLARCENY","D_MED"
7,"Average",-0.0306679833014629,0.0534810103852888,-0.142981547971408,0.0707942278482634,"lnLARCENY","D_MED"
8,"Average",-0.0681323297805396,0.0729872159036931,-0.213994190270931,0.0644773964250695,"lnLARCENY","D_MED"
9,"Average",-0.061320428572032,0.0743615829087689,-0.218336558669044,0.0809229893465136,"lnLARCENY","D_MED"
10,"Average",-0.0805014817050243,0.0808726229578628,-0.249321380238173,0.061726880829121,"lnLARCENY","D_MED"
11,"Average",-0.0517011570575624,0.0771775255563755,-0.20706163900383,0.087723088171521,"lnLARCENY","D_MED"
12,"Average",-0.0329328831929084,0.0791461917534885,-0.192879777571436,0.107677274391562,"lnLARCENY","D_MED"
13,"Average",-0.0322817275287504,0.0746836496510062,-0.186418580327933,0.0942387295043814,"lnLARCENY","D_MED"
14,"Average",-0.00279811204829006,0.0694244047004374,-0.14962374465483,0.128226723472564,"lnLARCENY","D_MED"
15,"Average",0.0777198328427385,0.0769603740304093,-0.075469074152938,0.228633307475013,"lnLARCENY","D_MED"
NA,"Average",-0.0262248504857661,0.0502454160596375,-0.134683046147961,0.0615159069885429,"lnLARCENY","D_MED"
-9,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-8,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-7,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-6,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-5,"ALASKA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-4,"ALASKA",0.0311692711405076,0.0513486491336438,-0.0737652188166186,0.111243914288119,"lnLARCENY","D_MED"
-3,"ALASKA",-0.0177275238788983,0.0124147576310679,-0.0429366704548041,0.0050051291620736,"lnLARCENY","D_MED"
-2,"ALASKA",0.0100038306808745,0.0143079867014007,-0.018576191679559,0.0347362814623895,"lnLARCENY","D_MED"
-1,"ALASKA",-0.0234455779424856,0.0584248955489431,-0.118209722432076,0.0892552483178474,"lnLARCENY","D_MED"
0,"ALASKA",-0.0510948402802152,0.123732656390505,-0.244386046781605,0.192351045259518,"lnLARCENY","D_MED"
1,"ALASKA",-0.019342144472998,0.125766770715886,-0.223358194343335,0.201161886802188,"lnLARCENY","D_MED"
2,"ALASKA",-0.0753383257187776,0.135327775152331,-0.287210696648633,0.200431030840547,"lnLARCENY","D_MED"
3,"ALASKA",-0.0361113603264203,0.0748781316253096,-0.15002178451108,0.113604700896026,"lnLARCENY","D_MED"
4,"ALASKA",-0.0242494764827423,0.0595458216335446,-0.117264685219593,0.0923845047126222,"lnLARCENY","D_MED"
5,"ALASKA",-0.142000168911642,0.155022183698821,-0.379440866131948,0.178191555607736,"lnLARCENY","D_MED"
6,"ALASKA",-0.0617039821945111,0.0678553757837534,-0.175412375878914,0.0850689326314798,"lnLARCENY","D_MED"
7,"ALASKA",-0.00751577291009298,0.0451057576128824,-0.0964716782335946,0.0858700776838667,"lnLARCENY","D_MED"
8,"ALASKA",-0.0132677963567884,0.0810299410177987,-0.16347180662355,0.144756515607293,"lnLARCENY","D_MED"
9,"ALASKA",-0.0938569855624332,0.15938209155674,-0.360703172580269,0.233910943651175,"lnLARCENY","D_MED"
10,"ALASKA",-0.0567514481727898,0.127842036275485,-0.271173644634052,0.194690759735176,"lnLARCENY","D_MED"
11,"ALASKA",-0.0161547593865397,0.124662938472298,-0.233381727488607,0.21059414354899,"lnLARCENY","D_MED"
12,"ALASKA",-0.0352240014236154,0.198284466053895,-0.375856263976192,0.322277826801298,"lnLARCENY","D_MED"
13,"ALASKA",0.0180462665933678,0.161312802297275,-0.269309395736763,0.294638942060784,"lnLARCENY","D_MED"
14,"ALASKA",0.112491771765275,0.124250757417788,-0.137556504531722,0.323286744102995,"lnLARCENY","D_MED"
15,"ALASKA",0.131942507500576,0.18383990775355,-0.228502793282283,0.413798751011058,"lnLARCENY","D_MED"
NA,"ALASKA",-0.0231331572712717,0.109377850507844,-0.209439106011563,0.174547863512784,"lnLARCENY","D_MED"
-9,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-8,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-7,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-6,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-5,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-4,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-3,"CALIFORNIA",NA,NA,NA,NA,"lnLARCENY","D_MED"
-2,"CALIFORNIA",0.0527357563212805,0.0448353157461279,-0.0439245325975926,0.125455725247992,"lnLARCENY","D_MED"
-1,"CALIFORNIA",-0.0527357563212805,0.0448353157461279,-0.125455725247992,0.0439245325975926,"lnLARCENY","D_MED"
0,"CALIFORNIA",-0.102205236757494,0.102405956982321,-0.264246331965876,0.105942468399404,"lnLARCENY","D_MED"
1,"CALIFORNIA",-0.129411730538952,0.139930789643275,-0.340812620222713,0.159070808753524,"lnLARCENY","D_MED"
2,"CALIFORNIA",-0.172663697673547,0.189033463131905,-0.466480840229288,0.218124508258645,"lnLARCENY","D_MED"
3,"CALIFORNIA",-0.148579328318581,0.218706397018166,-0.50534272271038,0.296682532649728,"lnLARCENY","D_MED"
4,"CALIFORNIA",-0.0855793530209858,0.167761713590118,-0.352752484101556,0.239919275487739,"lnLARCENY","D_MED"
5,"CALIFORNIA",-0.107104599685177,0.150276137059797,-0.349977021706903,0.1995626512682,"lnLARCENY","D_MED"
6,"CALIFORNIA",-0.0815026410926087,0.13555773437285,-0.320856768505303,0.179393136248973,"lnLARCENY","D_MED"
7,"CALIFORNIA",-0.098745106870922,0.129679256260698,-0.34274645019185,0.15881821114327,"lnLARCENY","D_MED"
8,"CALIFORNIA",-0.126697966854181,0.147814471937797,-0.382397522641667,0.165560138292926,"lnLARCENY","D_MED"
9,"CALIFORNIA",-0.112890535248976,0.162239028953055,-0.402130407778708,0.205219392171803,"lnLARCENY","D_MED"
10,"CALIFORNIA",-0.137968408608248,0.172318048182711,-0.442230720027527,0.199378479148698,"lnLARCENY","D_MED"
11,"CALIFORNIA",-0.152113023983567,0.15122953656512,-0.410814341261046,0.155087968818788,"lnLARCENY","D_MED"
12,"CALIFORNIA",-0.168634975319653,0.163210931358734,-0.432645582143001,0.16331240327178,"lnLARCENY","D_MED"
13,"CALIFORNIA",-0.180276679130684,0.177526525576814,-0.474799467414419,0.179736979407897,"lnLARCENY","D_MED"
14,"CALIFORNIA",-0.171123663919285,0.191093885327006,-0.485931267069167,0.210027873658879,"lnLARCENY","D_MED"
15,"CALIFORNIA",-0.0953688289617407,0.127138953798091,-0.331302337441281,0.161864015436269,"lnLARCENY","D_MED"
NA,"CALIFORNIA",-0.129429110999038,0.155330311469291,-0.384974863044575,0.18391897568478,"lnLARCENY","D_MED"
-9,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_MED"
-8,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_MED"
-7,"COLORADO",NA,NA,NA,NA,"lnLARCENY","D_MED"
-6,"COLORADO",0.0825307289237838,0.114765025509,-0.140548069149636,0.256580008654191,"lnLARCENY","D_MED"
-5,"COLORADO",0.0450932886182986,0.0643363598057205,-0.0827830023963419,0.146446635826066,"lnLARCENY","D_MED"
-4,"COLORADO",-0.0142008871727608,0.0391355819930289,-0.0857093560141806,0.0587085084451439,"lnLARCENY","D_MED"
-3,"COLORADO",-0.0394178909921887,0.0324952729873307,-0.0968176345725593,0.0270976529865347,"lnLARCENY","D_MED"
-2,"COLORADO",-0.0290679453186158,0.0527382623175203,-0.109009494968784,0.0730740756733507,"lnLARCENY","D_MED"
-1,"COLORADO",-0.044937294058518,0.074759445231502,-0.172776498138772,0.107431414381846,"lnLARCENY","D_MED"
0,"COLORADO",-0.0399519847329213,0.0662691499649579,-0.148203407373458,0.0934167270423526,"lnLARCENY","D_MED"
1,"COLORADO",-0.0107472866129417,0.0505101208303813,-0.0807226091356214,0.0895214225014789,"lnLARCENY","D_MED"
2,"COLORADO",0.0106011983419867,0.0309503505217104,-0.0476594240341819,0.0751230445684526,"lnLARCENY","D_MED"
3,"COLORADO",0.0213586139322883,0.0246791235068746,-0.0300537523441732,0.0666881780074257,"lnLARCENY","D_MED"
4,"COLORADO",0.0737094780659504,0.0606331493131593,-0.05342578701434,0.1880851166831,"lnLARCENY","D_MED"
5,"COLORADO",-0.0297183875916387,0.081208379557649,-0.165018070212904,0.134537057731639,"lnLARCENY","D_MED"
6,"COLORADO",-0.10428497293675,0.181531376819134,-0.375561484853887,0.256720516022158,"lnLARCENY","D_MED"
7,"COLORADO",-0.0915358128042003,0.18832772590611,-0.373873859727974,0.285326835818896,"lnLARCENY","D_MED"
8,"COLORADO",-0.109369144134163,0.201239608858407,-0.406181934541704,0.291744526375972,"lnLARCENY","D_MED"
9,"COLORADO",-0.0567502569694183,0.152839290024992,-0.287081962302844,0.252882879998481,"lnLARCENY","D_MED"
10,"COLORADO",-0.0856281640709744,0.17460238907669,-0.332686199646351,0.268470739885328,"lnLARCENY","D_MED"
11,"COLORADO",-0.0328512694025296,0.129096565906305,-0.21907568832718,0.224071501830814,"lnLARCENY","D_MED"
12,"COLORADO",0.0195967385397884,0.0935948671320114,-0.135683600439618,0.20388545078463,"lnLARCENY","D_MED"
13,"COLORADO",0.00537266415194892,0.103970620840735,-0.154741624862334,0.216084449692701,"lnLARCENY","D_MED"
14,"COLORADO",0.110708170256699,0.0804633589200947,-0.0373677090687373,0.264105991043573,"lnLARCENY","D_MED"
15,"COLORADO",0.134660729644151,0.0837685943532858,-0.0213233062337889,0.307021600483296,"lnLARCENY","D_MED"
NA,"COLORADO",-0.0115518553951703,0.0826842049179988,-0.132148499234497,0.154011004862474,"lnLARCENY","D_MED"
