"Time","Level","Estimate","Std.Error","lower_bound","upper_bound","Outcome","Treatment"
-9,"Average",-0.0381161324296277,0.122583139307716,-0.244039553022734,0.190679693141726,"lnVIOLENT1","D_MED"
-8,"Average",0.0173786695631417,0.0502296371165554,-0.0820369243795523,0.0911399195608628,"lnVIOLENT1","D_MED"
-7,"Average",0.0634107787434615,0.106303939948162,-0.154390476499467,0.229882580739218,"lnVIOLENT1","D_MED"
-6,"Average",0.0045244233707944,0.0632963264882884,-0.121493727403771,0.138125259468663,"lnVIOLENT1","D_MED"
-5,"Average",0.0142729104410275,0.0318248757632628,-0.0455586207055341,0.081020485101449,"lnVIOLENT1","D_MED"
-4,"Average",0.000431326310546765,0.0184830298318685,-0.0351174048875108,0.0364081456344575,"lnVIOLENT1","D_MED"
-3,"Average",-0.00578312097726741,0.0207803485456798,-0.0438116892483432,0.0380482960959128,"lnVIOLENT1","D_MED"
-2,"Average",-0.0132831973854719,0.0276756317532416,-0.0654527944695791,0.042498816833149,"lnVIOLENT1","D_MED"
-1,"Average",-0.00318430923721586,0.0237879058291332,-0.0511963866639976,0.0445560651324368,"lnVIOLENT1","D_MED"
0,"Average",0.017942255884054,0.0385230809351586,-0.0566934109948075,0.096610938666833,"lnVIOLENT1","D_MED"
1,"Average",0.00981675271986533,0.051862191709624,-0.089929441486038,0.1166603018895,"lnVIOLENT1","D_MED"
2,"Average",0.00701291625365099,0.0679343212414831,-0.119986446824583,0.144807501391312,"lnVIOLENT1","D_MED"
3,"Average",0.0101424708201429,0.0740873796377613,-0.129746527613943,0.16387566598516,"lnVIOLENT1","D_MED"
4,"Average",0.0658331937333493,0.0803762833671788,-0.0803954549925642,0.237695038398038,"lnVIOLENT1","D_MED"
5,"Average",0.0850065296468577,0.0835138285056834,-0.0689606577035077,0.263287979310895,"lnVIOLENT1","D_MED"
6,"Average",0.0763135379087548,0.0832101963966017,-0.0729546695134278,0.252076716773912,"lnVIOLENT1","D_MED"
7,"Average",0.0767459390285453,0.0896859041939089,-0.0908361455636778,0.268943472344025,"lnVIOLENT1","D_MED"
8,"Average",0.0813928259084472,0.0942153835615729,-0.0924127407417396,0.278073683029938,"lnVIOLENT1","D_MED"
9,"Average",0.0554881718372973,0.0886795745112229,-0.0951745893946325,0.235222900590917,"lnVIOLENT1","D_MED"
